#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540652084249217,0.8330920573,-0.9287057286,0.5968286300,0.1930429041,-0.0958637964,-0.0957497183,0.9717903895
1690540652093819472,0.8325955124,-0.9295419523,0.5970197878,0.1936647336,-0.0963780607,-0.0957822058,0.9716125820
1690540652103993156,0.8320527827,-0.9303825034,0.5972797295,0.1943355007,-0.0953020873,-0.0940862309,0.9717504857
1690540652114164992,0.8316346563,-0.9310800772,0.5973785125,0.1942732065,-0.0960744398,-0.0956364863,0.9715355298
1690540652124152095,0.8308934711,-0.9321889099,0.5976640616,0.1942340598,-0.0884003730,-0.0950806334,0.9723261681
1690540652134138612,0.8305969963,-0.9327079674,0.5977729097,0.1950906683,-0.0957064120,-0.0952910919,0.9714419806
1690540652143853708,0.8300848611,-0.9334537469,0.5979640703,0.1961428668,-0.0960374282,-0.0952007099,0.9712062670
1690540652153936139,0.8296022237,-0.9341898051,0.5981532926,0.1969481713,-0.0961459840,-0.0950211970,0.9710501221
1690540652163907127,0.8288470450,-0.9352173348,0.5984557459,0.1970942864,-0.0891407958,-0.0942316195,0.9717654875
1690540652174183486,0.8283781920,-0.9358138058,0.5985563306,0.2004676000,-0.0934256045,-0.0932341495,0.9707686600
1690540652183916982,0.8278594806,-0.9365501673,0.5987650514,0.2012807050,-0.0931094984,-0.0930936313,0.9706442576
1690540652194007625,0.8272919934,-0.9374244762,0.5990170171,0.2011655163,-0.0916086588,-0.0922931707,0.9708873567
1690540652203926070,0.8268450211,-0.9380617740,0.5991948155,0.1991184242,-0.0941555952,-0.0936440001,0.9709363410
1690540652214370749,0.8262261778,-0.9386483883,0.5994862971,0.2037412720,-0.0944608212,-0.0942845575,0.9698850806
1690540652223898964,0.8255645833,-0.9395371815,0.5997030741,0.2034441445,-0.0927998685,-0.0923319603,0.9702955599
1690540652234103907,0.8250231407,-0.9401760663,0.5999555394,0.2041654657,-0.0940265411,-0.0921822648,0.9700401550
1690540652244200719,0.8243912951,-0.9409326118,0.6002856243,0.2021177636,-0.0894588330,-0.0930424611,0.9708185347
1690540652253863742,0.8238553568,-0.9415885705,0.6007128034,0.2039900521,-0.0931085137,-0.0954828386,0.9698463233
1690540652263991763,0.8233945573,-0.9419400331,0.6007603842,0.2063379890,-0.0959315259,-0.0915789481,0.9694509131
1690540652273943755,0.8226505536,-0.9427109829,0.6011360074,0.2091419762,-0.0930325227,-0.0892577064,0.9693490833
1690540652283871837,0.8223710144,-0.9431168892,0.6013582182,0.2077348939,-0.0962901584,-0.0913101544,0.9691423399
1690540652293921999,0.8220072812,-0.9435772867,0.6016602941,0.2047628652,-0.0973248361,-0.0917037570,0.9696341920
1690540652304141984,0.8213529848,-0.9443365673,0.6020800536,0.2059830192,-0.0915167187,-0.0910456521,0.9700032862
1690540652313737134,0.8209529736,-0.9447463565,0.6023153861,0.2089907022,-0.0955145852,-0.0897713083,0.9690928555
1690540652323951108,0.8204870001,-0.9452829420,0.6026164335,0.2094475526,-0.0956230926,-0.0891546578,0.9690404501
1690540652334147122,0.8199650182,-0.9458098189,0.6028613200,0.2110647559,-0.0937060802,-0.0888260509,0.9689069986
1690540652343948317,0.8195218995,-0.9463436178,0.6031414164,0.2119110013,-0.0947559261,-0.0886586037,0.9686354804
1690540652353812661,0.8190522019,-0.9470428659,0.6035419822,0.2089542394,-0.0916227643,-0.0892198739,0.9695273121
1690540652363956850,0.8186142312,-0.9475953194,0.6037899425,0.2096528145,-0.0923647152,-0.0890598495,0.9693207931
1690540652373942807,0.8182375802,-0.9480365259,0.6039358688,0.2124284662,-0.0963160589,-0.0879010214,0.9684372845
1690540652384003090,0.8176762133,-0.9487443448,0.6041621633,0.2140620587,-0.0940130629,-0.0879986474,0.9682950052
1690540652393977746,0.8172709586,-0.9493381246,0.6043666295,0.2139845861,-0.0943111407,-0.0888302057,0.9682072093
1690540652403976221,0.8169455065,-0.9499106798,0.6046090761,0.2142313717,-0.0973804996,-0.0890331222,0.9678300785
1690540652413836769,0.8165283367,-0.9505257111,0.6048092974,0.2150473705,-0.0973815175,-0.0887784791,0.9676723878
1690540652424270765,0.8160692474,-0.9511990828,0.6050103923,0.2149652850,-0.0978627591,-0.0888339728,0.9676369835
1690540652433895934,0.8155151941,-0.9519102426,0.6051418312,0.2157435539,-0.0947535449,-0.0893341790,0.9677271770
1690540652443830307,0.8150992318,-0.9525673960,0.6053046493,0.2160791614,-0.0958396894,-0.0896888814,0.9675125087
1690540652454048713,0.8146962772,-0.9531867940,0.6054476443,0.2166122853,-0.0975155101,-0.0900167355,0.9671953425
1690540652463911062,0.8143102034,-0.9538217704,0.6056067454,0.2169246291,-0.0981111187,-0.0910352006,0.9669697544
1690540652473745760,0.8139163117,-0.9545067260,0.6057839550,0.2170650276,-0.0991155024,-0.0915663270,0.9667856529
1690540652484157825,0.8135041103,-0.9550713169,0.6057414437,0.2129485255,-0.0902608356,-0.0978923113,0.9679478304
1690540652494043325,0.8129193524,-0.9558236738,0.6060336469,0.2190931338,-0.0965816784,-0.0920959338,0.9665342814
1690540652503967686,0.8125069831,-0.9564221669,0.6061323369,0.2188862318,-0.0965570410,-0.0930412361,0.9664930852
1690540652513895358,0.8121255508,-0.9569988739,0.6062540168,0.2194748447,-0.0976140680,-0.0933340192,0.9662251534
1690540652523839261,0.8118201576,-0.9575049205,0.6063830412,0.2197158607,-0.0996967067,-0.0932150084,0.9659691866
1690540652533859603,0.8114054776,-0.9580527094,0.6064691517,0.2204492037,-0.0980248029,-0.0931979425,0.9659748600
1690540652543882909,0.8111107637,-0.9585804691,0.6066002664,0.2200628364,-0.0996378573,-0.0926439914,0.9659512080
1690540652553877914,0.8107552428,-0.9591020564,0.6067103107,0.2210313115,-0.1004687150,-0.0925667549,0.9656513825
1690540652563766710,0.8103346282,-0.9596792939,0.6067903896,0.2217549841,-0.0972052467,-0.0919707793,0.9658764118
1690540652573902126,0.8100469993,-0.9601741503,0.6069057022,0.2217108780,-0.0977545837,-0.0919281552,0.9658351527
1690540652583987640,0.8097644747,-0.9606499555,0.6070101503,0.2217574311,-0.0982237323,-0.0915993684,0.9658081051
1690540652594101467,0.8094565324,-0.9611371945,0.6071046951,0.2220440044,-0.0983749710,-0.0917950168,0.9657082893
1690540652603810325,0.8091516077,-0.9616863112,0.6072260892,0.2230409432,-0.0988985074,-0.0914854232,0.9654544216
1690540652613951016,0.8087424429,-0.9623341655,0.6073951079,0.2239765329,-0.0978515898,-0.0901016619,0.9654746344
1690540652623922443,0.8084680176,-0.9628191574,0.6074596475,0.2238415055,-0.0971823391,-0.0907583451,0.9655120383
1690540652633800407,0.8082066613,-0.9632995367,0.6075587830,0.2235711925,-0.0972260557,-0.0910261500,0.9655450564
1690540652643835086,0.8079530600,-0.9638231376,0.6076582197,0.2237963161,-0.0974228642,-0.0911939592,0.9654572265
1690540652654032773,0.8077174971,-0.9643564540,0.6077563659,0.2237886544,-0.0977240668,-0.0913597651,0.9654128849
